#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 383631:9931  | 07/25/24 03:56:49 | 1675 | 1675 | 0.687188043    | 0.646837273   |
| 383647:9932  | 07/25/24 17:03:23 | 107  | 107  | 0.041716738    | 0.038319728   |
| 383648:9932  | 07/25/24 17:46:40 | 232  | 232  | 0.114200047    | 0.104238064   |
| 383649:9932  | 07/25/24 19:18:20 | 342  | 342  | 0.168604409    | 0.155579220   |
| 383650:9932  | 07/25/24 21:33:00 | 41   | 41   | 0.020191998    | 0.017601528   |
| 383661:9934  | 07/26/24 01:47:35 | 101  | 101  | 0.038233257    | 0.034946698   |
| 383662:9934  | 07/26/24 02:30:01 | 177  | 177  | 0.086849029    | 0.079227036   |
| 383669:9935  | 07/26/24 05:40:30 | 639  | 639  | 0.304021965    | 0.282498303   |
| 383687:9936  | 07/26/24 12:06:39 | 476  | 476  | 0.224126568    | 0.207512121   |
| 383692:9937  | 07/26/24 17:20:31 | 859  | 859  | 0.410604296    | 0.374964506   |
| 383693:9937  | 07/26/24 22:56:12 | 155  | 155  | 0.075913397    | 0.068748824   |
| 383694:9937  | 07/27/24 00:04:45 | 30   | 30   | 0.014119611    | 0.008857870   |
| 383695:9937  | 07/27/24 00:19:44 | 739  | 739  | 0.284992460    | 0.267880771   |
| 383712:9939  | 07/27/24 08:34:14 | 1552 | 1552 | 0.722964818    | 0.672215705   |
| 383724:9939  | 07/27/24 19:49:20 | 192  | 192  | 0.062361673    | 0.060172219   |
| 383740:9941  | 07/28/24 01:30:34 | 676  | 676  | 0.317519717    | 0.292102518   |
| 383741:9941  | 07/28/24 05:57:18 | 574  | 574  | 0.278159326    | 0.258250999   |
| 383756:9942  | 07/28/24 12:25:37 | 1365 | 1365 | 0.644237648    | 0.598236394   |
| 383758:9942  | 07/28/24 21:50:52 | 25   | 25   | 0.009674115    | 0.009072692   |
| 383767:9943  | 07/29/24 00:29:10 | 1603 | 1603 | 0.736735891    | 0.679690744   |
| 383779:9943  | 07/29/24 10:56:46 | 173  | 173  | 0.058387527    | 0.056037215   |
| 383811:9945  | 07/29/24 16:52:12 | 41   | 41   | 0.013226595    | 0.011374565   |
| 383812:9945  | 07/29/24 17:11:17 | 338  | 338  | 0.165946834    | 0.149452914   |
| 383813:9945  | 07/29/24 19:26:00 | 104  | 104  | 0.050974827    | 0.046467031   |
| 383814:9945  | 07/29/24 20:12:38 | 1244 | 1244 | 0.554592305    | 0.518543236   |
| 383830:9947  | 07/30/24 08:01:55 | 124  | 124  | 0.053027472    | 0.046761049   |
| 383832:9947  | 07/30/24 08:59:00 | 405  | 405  | 0.199464195    | 0.178361413   |
| 383833:9947  | 07/30/24 11:39:37 | 173  | 173  | 0.085168296    | 0.077988244   |
| 383834:9947  | 07/30/24 12:49:56 | 438  | 438  | 0.213046462    | 0.197222318   |
| 383854:9951  | 07/30/24 20:32:22 | 1088 | 1088 | 0.525451369    | 0.480635562   |
| 383855:9951  | 07/31/24 03:37:50 | 905  | 905  | 0.355630009    | 0.336448468   |
| 383900:9960  | 07/31/24 15:53:42 | 29   | 29   | 0.007718550    | 0.007359503   |
| 383907:9962  | 08/01/24 01:35:28 | 615  | 615  | 0.293949156    | 0.265823682   |
| 383908:9962  | 08/01/24 05:40:03 | 16   | 16   | 0.007848189    | 0.006870390   |
| 383948:9967  | 08/01/24 21:31:59 | 882  | 882  | 0.420271269    | 0.385167686   |
| 383949:9967  | 08/02/24 03:17:58 | 905  | 905  | 0.388981043    | 0.367758708   |
| 383996:9969  | 08/02/24 14:25:58 | 2192 | 2192 | 0.920706692    | 0.869656546   |
| 384014:9970  | 08/03/24 07:49:48 | 378  | 378  | 0.169858262    | 0.159564943   |
