[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[367699, 367758]  |    2023C-nib1-fib7   |     0.6549 fb^-1  |   724514 to  727427  |    4  |  1787
[367770, 367881]  |  2023Cv4-nib1-fib1   |      1.091 fb^-1  |   728079 to  731498  |    9  |  2904
[367883, 367884]  |  2023Cv4-nib1-fib2   |     0.7955 fb^-1  |   731560 to  731971  |    2  |  2061
[367902, 368384]  |  2023Cv4-nib1-fib3   |      1.295 fb^-1  |   732572 to  745755  |   17  |  4549
[368388, 368410]  |  2023Cv4-nib1-fib4   |     0.8881 fb^-1  |   745941 to  747348  |    4  |  3309
[368412, 368489]  |  2023Cv4-nib1-fib5   |      1.124 fb^-1  |   747925 to  749586  |    6  |  3417
[368546, 368548]  |  2023Cv4-nib1-fib6   |     0.7592 fb^-1  |   750482 to  751022  |    3  |  2397
[368566, 368609]  |  2023Cv4-nib1-fib7   |      1.015 fb^-1  |   751597 to  753148  |    3  |  2627
[368611, 368684]  |  2023Cv4-nib1-fib8   |      1.176 fb^-1  |   753549 to  756433  |   11  |  3387
[368685, 368685]  |  2023Cv4-nib1-fib9   |     0.5632 fb^-1  |   756473 to  756473  |    1  |  1481
[368723, 368764]  |  2023Cv4-nib1-fib10  |      1.091 fb^-1  |   757451 to  758881  |    7  |  2672
[368765, 368765]  |  2023Cv4-nib1-fib11  |     0.5372 fb^-1  |   758887 to  758887  |    1  |  1386
[368822, 368823]  |  2023Cv4-nib2-fib12  |     0.4075 fb^-1  |   760468 to  760838  |    2  |  978
[369927, 370144]  |    2023D-nib1-fib1   |      1.442 fb^-1  |   786986 to  791856  |   11  |  6172
[370169, 370175]  |    2023D-nib1-fib2   |      1.255 fb^-1  |   792664 to  793538  |    3  |  3284
[370293, 370293]  |    2023D-nib1-fib3   |     0.6512 fb^-1  |   795549 to  795549  |    1  |  1580
[370294, 370321]  |    2023D-nib1-fib4   |     0.9257 fb^-1  |   796166 to  797501  |    5  |  2679
[370332, 370332]  |    2023D-nib1-fib5   |     0.7176 fb^-1  |   797540 to  797540  |    1  |  1966
[370340, 370472]  |    2023D-nib1-fib6   |      1.179 fb^-1  |   798417 to  801082  |    7  |  2849
[370497, 370579]  |    2023D-nib1-fib7   |     0.8837 fb^-1  |   801218 to  803139  |    4  |  2184
[370580, 370580]  |    2023D-nib1-fib8   |     0.9205 fb^-1  |   803177 to  803177  |    1  |  2875
[370667, 370749]  |    2023D-nib1-fib9   |      0.873 fb^-1  |   805450 to  807441  |    4  |  2111
[370753, 370790]  |    2023D-nib1-fib10  |     0.8295 fb^-1  |   808038 to  809211  |    6  |  2144
